word_raw,count
long,1359
pencil,332
or,3883
at,9987
do,27116
oh,28962
the,95530
them,7184
would,4833
his,6219
like,17035
he,19102
see,16338
let,4136
you,114059
and,45270
who,5473
pop,914
a,65066
right,14360
is,33247
take,4372
are,17847
now,9266
it,53730
anyway,348
lookit,116
oop,334
come,7853
beak,40
had,3356
bunny,1006
i,43635
oy,84
am,893
shot,76
cough,94
truck,1164
know,11998
what,43867
think,9530
spill,173
little,9717
play,5514
live,701
up,12569
not,10260
your,22422
tickle,502
no,18259
than,1030
huh,7126
yes,6549
reach,235
flower,313
why,5293
teacher,236
here,16461
get,11455
hat,1288
maybe,2577
we,17758
fighting,64
same,705
ya,2292
go,15721
kitchen,673
color,1894
cup,1108
wow,2512
of,17549
on,24565
dee,73
garden,282
lily,909
bought,263
one,18424
look,11319
cold,769
munch,18
chug,224
adam,1375
shall,692
baby,5302
off,3937
eat,4996
pretty,2157
bed,1665
want,13465
was,11708
used,543
yeah,18648
wait,2204
salad,273
with,12312
just,8147
were,3495
can,17024
over,5975
last,1297
belle,87
sorry,803
came,1532
grandmother,72
that,41067
an,3415
doing,3825
half,374
cooked,58
okay,23111
to,42483
as,2203
this,24681
growling,14
my,7563
sit,2779
she,9224
when,5648
away,2391
ground,245
stuck,663
show,1798
corn,381
says,1595
dogs,277
diaper,426
there,17463
seventh,17
daddy,3549
leave,1104
looks,2206
throw,1485
tenth,13
remember,2516
bob,169
asked,582
many,1382
put,12023
wanna,6227
in,27518
died,48
thought,1258
never,955
excitable,30
did,12544
well,7223
game,559
pizza,170
mommy,4881
time,3368
say,5582
green,1742
melissa,80
happy,666
animals,854
back,5487
turkey,237
sweetie,1439
climbing,105
gonna,10380
tee,56
sometime,59
water,2279
good,9541
both,501
pan,134
going,6453
those,3749
cathy,25
got,6150
boys,287
bro,664
yep,1395
where,7301
number,457
delicious,412
waters,13
cheese,1012
these,3830
some,8394
pinch,59
cal,19
honey,3509
swimming,352
bear,2811
head,1471
him,4577
jumping,229
have,18409
b,405
hop,181
basil,11
for,12455
together,1066
trash,146
how,8870
gave,624
giving,295
pieces,509
ethan,763
big,5321
odd,21
all,10154
cream,619
melted,18
will,3052
swing,303
foot,606
um,2634
way,2997
side,692
two,4737
her,6358
about,5994
awfully,41
weird,78
ding,196
zoe,37
me,14001
falling,275
tea,711
thank,3204
jeanie,4
does,5003
round,433
street,475
tired,616
kissed,68
battery,118
write,782
against,170
space,484
letters,275
drink,1217
talk,1508
humph,4
room,1498
picnic,381
generous,6
male,48
stones,85
shoe,391
piece,1571
playing,1029
five,1187
book,4156
down,7164
watch,1802
candy,297
likes,567
money,493
mice,170
kittens,113
sprinkle,30
bad,667
bath,1035
soon,450
forget,300
hill,195
night,1706
porridge,63
rabbit,404
story,1270
should,2608
asleep,197
before,1160
cook,353
wrote,95
more,4949
cake,856
be,7804
coming,1113
wake,269
elephants,912
somebody,491
model,12
build,533
then,5800
pierre,14
mhm,4025
out,8981
fine,420
start,646
must,901
called,1790
goes,2294
tissue,80
still,2133
so,9107
yup,775
juice,1079
cinema,3
enough,919
hey,1890
near,294
manuela,382
nana,219
remembered,54
change,291
something,3311
tummy,217
red,2186
ate,2006
though,939
read,2965
carpet,147
blocks,673
load,70
tickets,26
don,62
by,1830
lived,140
bottle,529
day,1917
saying,657
bite,792
too,6039
late,242
bunch,170
ooh,1164
they,10824
said,5734
laughing,227
dog,1888
but,7214
tree,1027
silly,1097
plane,219
hours,60
jacket,120
push,1341
thirsty,188
because,4283
help,2106
hit,609
matthew,272
next,1769
idea,681
sis,614
alright,4329
much,1825
sesame,87
doctor,362
clay,94
went,2617
babies,403
c,406
trying,682
four,1326
boy,2255
give,2762
hello,1605
wash,612
doggie,623
able,225
around,2363
into,2016
happens,438
conductor,18
lucky,142
gingerbread,43
paper,1309
s,351
landed,168
run,530
hungry,1925
mummy,174
end,807
nice,3465
perhaps,116
waved,204
beyond,24
whatever,214
new,1701
chair,1426
prison,4
clouds,260
giddy,51
probably,683
lid,74
tried,195
shapes,162
thing,1728
tell,4142
hot,1039
rides,116
study,65
meet,245
books,697
only,1186
cinderella,237
please,2239
funny,1211
moon,1230
quiet,286
looking,1179
snacks,43
fishing,81
creature,54
anything,1112
cookies,575
sheep,226
soup,406
piles,41
minute,1382
rest,448
toes,305
cried,231
another,2805
dinosaurs,210
whole,676
fix,946
boom,419
earphones,2
engine,272
make,5618
raised,10
today,2129
y,163
instrument,34
cause,276
stop,1080
nobody,305
hee,412
racket,24
crayons,515
girl,1413
wearing,391
if,5719
hair,1233
olivia,132
fall,737
table,1238
m,268
sauce,119
yellow,1145
kind,2260
has,3559
through,2544
thunder,41
chi,3538
turn,2448
bring,1248
empty,181
gimme,113
man,792
sitting,674
dinner,544
mustache,67
fence,180
chocolate,737
almost,825
scary,319
ball,2914
sand,189
ice,997
face,996
drain,127
sarah,1507
along,407
keep,1192
strap,19
ask,756
giraffe,233
patter,43
sure,2061
home,1744
ripple,1
people,1256
wonder,332
tastes,131
afraid,208
woo,451
touch,823
tv,434
stocking,14
standing,223
asking,105
toys,1083
different,871
wheat,213
museum,173
baking,42
mouse,354
recently,35
